The loss of epoch88is:tf.Tensor(5.934229, shape=(), dtype=float32)
The loss of epoch89is:tf.Tensor(5.623316, shape=(), dtype=float32)
The loss of epoch90is:tf.Tensor(5.7290735, shape=(), dtype=float32)
The loss of epoch91is:tf.Tensor(5.7558694, shape=(), dtype=float32)
The loss of epoch92is:tf.Tensor(5.7366085, shape=(), dtype=float32)
The loss of epoch93is:tf.Tensor(5.8764067, shape=(), dtype=float32)
The loss of epoch94is:tf.Tensor(5.758659, shape=(), dtype=float32)
The loss of epoch95is:tf.Tensor(5.621255, shape=(), dtype=float32)
The loss of epoch96is:tf.Tensor(5.7229185, shape=(), dtype=float32)
The loss of epoch97is:tf.Tensor(5.7410946, shape=(), dtype=float32)
The loss of epoch98is:tf.Tensor(5.8144917, shape=(), dtype=float32)
The loss of epoch99is:tf.Tensor(5.7603636, shape=(), dtype=float32)
The loss of epoch100is:tf.Tensor(5.5701017, shape=(), dtype=float32)
The loss of epoch101is:tf.Tensor(5.6052017, shape=(), dtype=float32)
The loss of epoch102is:tf.Tensor(5.6709027, shape=(), dtype=float32)
The loss of epoch103is:tf.Tensor(5.795225, shape=(), dtype=float32)
The loss of epoch104is:tf.Tensor(5.732925, shape=(), dtype=float32)
The loss of epoch105is:tf.Tensor(5.787861, shape=(), dtype=float32)
The loss of epoch106is:tf.Tensor(5.671946, shape=(), dtype=float32)
The loss of epoch107is:tf.Tensor(5.8600845, shape=(), dtype=float32)
The loss of epoch108is:tf.Tensor(5.608988, shape=(), dtype=float32)
The loss of epoch109is:tf.Tensor(5.557397, shape=(), dtype=float32)
The loss of epoch110is:tf.Tensor(5.7867193, shape=(), dtype=float32)
The loss of epoch111is:tf.Tensor(5.847059, shape=(), dtype=float32)
The loss of epoch112is:tf.Tensor(5.667328, shape=(), dtype=float32)
The loss of epoch113is:tf.Tensor(5.6339097, shape=(), dtype=float32)
The loss of epoch114is:tf.Tensor(5.845914, shape=(), dtype=float32)
The loss of epoch115is:tf.Tensor(5.587304, shape=(), dtype=float32)
The loss of epoch116is:tf.Tensor(5.6818495, shape=(), dtype=float32)
The loss of epoch117is:tf.Tensor(5.6034927, shape=(), dtype=float32)
The loss of epoch118is:tf.Tensor(5.699266, shape=(), dtype=float32)
The loss of epoch119is:tf.Tensor(5.6121244, shape=(), dtype=float32)
The loss of epoch120is:tf.Tensor(5.6586967, shape=(), dtype=float32)
The loss of epoch121is:tf.Tensor(5.691425, shape=(), dtype=float32)
The loss of epoch122is:tf.Tensor(5.642721, shape=(), dtype=float32)
The loss of epoch123is:tf.Tensor(5.674663, shape=(), dtype=float32)
The loss of epoch124is:tf.Tensor(5.6428924, shape=(), dtype=float32)
The loss of epoch125is:tf.Tensor(5.7862835, shape=(), dtype=float32)
The loss of epoch126is:tf.Tensor(5.840682, shape=(), dtype=float32)
The loss of epoch127is:tf.Tensor(5.734142, shape=(), dtype=float32)
The loss of epoch128is:tf.Tensor(5.6047792, shape=(), dtype=float32)
The loss of epoch129is:tf.Tensor(5.428111, shape=(), dtype=float32)
The loss of epoch130is:tf.Tensor(5.626312, shape=(), dtype=float32)
The loss of epoch131is:tf.Tensor(5.547129, shape=(), dtype=float32)
The loss of epoch132is:tf.Tensor(5.6094265, shape=(), dtype=float32)
The loss of epoch133is:tf.Tensor(5.7747746, shape=(), dtype=float32)
The loss of epoch134is:tf.Tensor(5.6452084, shape=(), dtype=float32)
The loss of epoch135is:tf.Tensor(5.589048, shape=(), dtype=float32)
The loss of epoch136is:tf.Tensor(5.6127224, shape=(), dtype=float32)
The loss of epoch137is:tf.Tensor(5.435896, shape=(), dtype=float32)
The loss of epoch138is:tf.Tensor(5.384059, shape=(), dtype=float32)
The loss of epoch139is:tf.Tensor(5.673881, shape=(), dtype=float32)
The loss of epoch140is:tf.Tensor(5.6027164, shape=(), dtype=float32)
The loss of epoch141is:tf.Tensor(5.691629, shape=(), dtype=float32)
The loss of epoch142is:tf.Tensor(5.5866838, shape=(), dtype=float32)
The loss of epoch143is:tf.Tensor(5.316542, shape=(), dtype=float32)
The loss of epoch144is:tf.Tensor(5.4601917, shape=(), dtype=float32)
The loss of epoch145is:tf.Tensor(5.55168, shape=(), dtype=float32)
The loss of epoch146is:tf.Tensor(5.447382, shape=(), dtype=float32)
The loss of epoch147is:tf.Tensor(5.7762856, shape=(), dtype=float32)
The loss of epoch148is:tf.Tensor(5.4290366, shape=(), dtype=float32)
The loss of epoch149is:tf.Tensor(5.690511, shape=(), dtype=float32)
The loss of epoch150is:tf.Tensor(5.4760294, shape=(), dtype=float32)
The loss of epoch151is:tf.Tensor(5.6672516, shape=(), dtype=float32)
The loss of epoch152is:tf.Tensor(5.639564, shape=(), dtype=float32)
The loss of epoch153is:tf.Tensor(5.464183, shape=(), dtype=float32)
The loss of epoch154is:tf.Tensor(5.3114033, shape=(), dtype=float32)
The loss of epoch155is:tf.Tensor(5.5091443, shape=(), dtype=float32)
The loss of epoch156is:tf.Tensor(5.5481763, shape=(), dtype=float32)
The loss of epoch157is:tf.Tensor(5.641129, shape=(), dtype=float32)
The loss of epoch158is:tf.Tensor(5.6275296, shape=(), dtype=float32)
The loss of epoch159is:tf.Tensor(5.638098, shape=(), dtype=float32)
The loss of epoch160is:tf.Tensor(5.458597, shape=(), dtype=float32)
The loss of epoch161is:tf.Tensor(5.5218844, shape=(), dtype=float32)
The loss of epoch162is:tf.Tensor(5.5756307, shape=(), dtype=float32)
The loss of epoch163is:tf.Tensor(5.444407, shape=(), dtype=float32)
The loss of epoch164is:tf.Tensor(5.539749, shape=(), dtype=float32)
The loss of epoch165is:tf.Tensor(5.487706, shape=(), dtype=float32)
The loss of epoch166is:tf.Tensor(5.560574, shape=(), dtype=float32)
The loss of epoch167is:tf.Tensor(5.5009475, shape=(), dtype=float32)
The loss of epoch168is:tf.Tensor(5.6083965, shape=(), dtype=float32)
The loss of epoch169is:tf.Tensor(5.573236, shape=(), dtype=float32)
The loss of epoch170is:tf.Tensor(5.30744, shape=(), dtype=float32)
The loss of epoch171is:tf.Tensor(5.3989778, shape=(), dtype=float32)
The loss of epoch172is:tf.Tensor(5.699121, shape=(), dtype=float32)
The loss of epoch173is:tf.Tensor(5.390818, shape=(), dtype=float32)
The loss of epoch174is:tf.Tensor(5.3437867, shape=(), dtype=float32)
The loss of epoch175is:tf.Tensor(5.2959647, shape=(), dtype=float32)
The loss of epoch176is:tf.Tensor(5.414605, shape=(), dtype=float32)
The loss of epoch177is:tf.Tensor(5.3391366, shape=(), dtype=float32)
The loss of epoch178is:tf.Tensor(5.450863, shape=(), dtype=float32)
The loss of epoch179is:tf.Tensor(5.571613, shape=(), dtype=float32)
The loss of epoch180is:tf.Tensor(5.3970327, shape=(), dtype=float32)
The loss of epoch181is:tf.Tensor(5.5313444, shape=(), dtype=float32)
The loss of epoch182is:tf.Tensor(5.592834, shape=(), dtype=float32)
The loss of epoch183is:tf.Tensor(5.361102, shape=(), dtype=float32)
The loss of epoch184is:tf.Tensor(5.2657576, shape=(), dtype=float32)
The loss of epoch185is:tf.Tensor(5.40077, shape=(), dtype=float32)
The loss of epoch186is:tf.Tensor(5.401314, shape=(), dtype=float32)
The loss of epoch187is:tf.Tensor(5.470108, shape=(), dtype=float32)
The loss of epoch188is:tf.Tensor(5.416939, shape=(), dtype=float32)
The loss of epoch189is:tf.Tensor(5.484585, shape=(), dtype=float32)
The loss of epoch190is:tf.Tensor(5.4341745, shape=(), dtype=float32)
The loss of epoch191is:tf.Tensor(5.460375, shape=(), dtype=float32)
The loss of epoch192is:tf.Tensor(5.3919773, shape=(), dtype=float32)
The loss of epoch193is:tf.Tensor(5.3255806, shape=(), dtype=float32)
The loss of epoch194is:tf.Tensor(5.327348, shape=(), dtype=float32)
The loss of epoch195is:tf.Tensor(5.38293, shape=(), dtype=float32)
The loss of epoch196is:tf.Tensor(5.265464, shape=(), dtype=float32)
The loss of epoch197is:tf.Tensor(5.4915247, shape=(), dtype=float32)
The loss of epoch198is:tf.Tensor(5.6449857, shape=(), dtype=float32)
The loss of epoch199is:tf.Tensor(5.247098, shape=(), dtype=float32)
The loss of epoch200is:tf.Tensor(5.4969554, shape=(), dtype=float32)
The loss of epoch201is:tf.Tensor(5.470191, shape=(), dtype=float32)
The loss of epoch202is:tf.Tensor(5.3604937, shape=(), dtype=float32)
The loss of epoch203is:tf.Tensor(5.474341, shape=(), dtype=float32)
